model_label,model_path,dataset,in_domain,num_samples,gen_time_s,samples_per_sec,rouge1_clean,rouge2_clean,rougeL_clean,rougeLsum_clean,rouge1_raw,bertscore_f1,bertscore_precision,bertscore_recall,avg_pred_words,avg_ref_words,preamble_rate,run
teacher_7B,Qwen/Qwen2.5-7B-Instruct,cnn_dailymail,True,1000,71.8,13.935,33.407,10.523,21.609,27.403,33.422,22.949,28.615,17.284,43.7,55.2,0.013,10k
teacher_7B,Qwen/Qwen2.5-7B-Instruct,xsum,False,1000,41.1,24.311,27.209,7.178,20.071,20.073,27.221,30.062,26.448,33.644,27.5,21.0,0.01,10k
teacher_7B,Qwen/Qwen2.5-7B-Instruct,samsum,False,819,15.4,53.197,38.097,12.753,29.316,29.325,38.027,39.532,35.523,43.584,24.2,20.0,0.105,10k
teacher_7B,Qwen/Qwen2.5-7B-Instruct,dialogsum,False,1000,19.3,51.871,30.472,8.835,23.38,23.386,30.311,24.508,25.196,23.762,29.8,18.7,0.256,10k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,cnn_dailymail,True,1000,20.2,49.564,8.641,1.859,5.757,7.411,8.718,-16.921,-13.482,-20.484,39.6,55.2,0.936,10k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,xsum,False,1000,15.9,62.697,11.423,1.072,8.196,8.842,11.457,-1.826,-5.086,1.521,31.3,21.0,0.576,10k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,samsum,False,819,11.3,72.558,11.662,1.775,9.069,9.477,11.641,2.593,-7.159,12.688,32.0,20.0,0.634,10k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,dialogsum,False,1000,14.0,71.625,14.993,3.057,11.62,12.284,14.989,4.974,1.44,8.54,30.9,18.7,0.602,10k
student_KD_LoRA,/content/merged_ttyd4_3k,cnn_dailymail,True,1000,23.8,42.074,31.147,8.632,19.563,25.219,31.115,18.871,22.774,14.922,53.6,55.2,0.046,10k
student_KD_LoRA,/content/merged_ttyd4_3k,xsum,False,1000,18.5,54.126,21.474,3.928,14.283,14.276,21.459,21.337,13.521,29.278,47.1,21.0,0.026,10k
student_KD_LoRA,/content/merged_ttyd4_3k,samsum,False,819,13.1,62.439,23.971,4.552,16.703,16.845,23.898,23.961,15.044,33.101,45.7,20.0,0.284,10k
student_KD_LoRA,/content/merged_ttyd4_3k,dialogsum,False,1000,16.6,60.398,20.925,4.494,14.903,14.984,20.62,15.529,14.186,16.792,46.1,18.7,0.401,10k
student_SFT_LoRA,/content/merged_fer149xn,cnn_dailymail,True,1000,34.7,28.847,34.403,12.092,22.042,30.68,33.338,21.323,17.489,25.246,71.1,55.2,0.868,10k
student_SFT_LoRA,/content/merged_fer149xn,xsum,False,1000,18.6,53.846,19.663,2.867,12.96,16.261,19.575,9.778,-1.308,21.223,44.2,21.0,0.276,10k
student_SFT_LoRA,/content/merged_fer149xn,samsum,False,819,13.4,61.256,23.486,5.098,16.827,18.974,23.113,13.733,-2.652,31.389,45.2,20.0,0.386,10k
student_SFT_LoRA,/content/merged_fer149xn,dialogsum,False,1000,17.5,57.149,18.702,3.822,13.567,15.513,18.18,2.936,-7.458,13.762,47.2,18.7,0.292,10k
teacher_7B,Qwen/Qwen2.5-7B-Instruct,cnn_dailymail,True,1000,73.1,13.689,33.414,10.54,21.611,27.415,33.426,22.949,28.615,17.284,43.7,55.2,0.013,50k
teacher_7B,Qwen/Qwen2.5-7B-Instruct,xsum,False,1000,42.0,23.833,27.222,7.161,20.047,20.1,27.239,30.062,26.448,33.644,27.5,21.0,0.01,50k
teacher_7B,Qwen/Qwen2.5-7B-Instruct,samsum,False,819,15.8,51.997,38.107,12.761,29.347,29.332,38.041,39.532,35.523,43.584,24.2,20.0,0.105,50k
teacher_7B,Qwen/Qwen2.5-7B-Instruct,dialogsum,False,1000,20.5,48.878,30.451,8.861,23.36,23.39,30.297,24.508,25.196,23.762,29.8,18.7,0.256,50k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,cnn_dailymail,True,1000,21.3,46.905,8.62,1.882,5.769,7.418,8.699,-16.921,-13.482,-20.484,39.6,55.2,0.936,50k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,xsum,False,1000,15.1,66.367,11.433,1.073,8.202,8.841,11.469,-1.826,-5.086,1.521,31.3,21.0,0.576,50k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,samsum,False,819,11.6,70.54,11.664,1.78,9.065,9.517,11.646,2.593,-7.159,12.688,32.0,20.0,0.634,50k
student_baseline_0.5B,Qwen/Qwen2.5-0.5B,dialogsum,False,1000,14.6,68.582,15.0,3.068,11.63,12.284,14.998,4.974,1.44,8.54,30.9,18.7,0.602,50k
student_KD_LoRA,/content/merged_f44ei2fz,cnn_dailymail,True,1000,23.4,42.759,31.359,8.992,19.777,25.496,31.351,19.824,24.241,15.336,50.1,55.2,0.037,50k
student_KD_LoRA,/content/merged_f44ei2fz,xsum,False,1000,18.9,52.973,21.461,3.921,14.383,14.39,21.489,21.368,13.678,29.162,45.9,21.0,0.011,50k
student_KD_LoRA,/content/merged_f44ei2fz,samsum,False,819,11.3,72.414,26.122,5.061,18.292,18.324,26.124,27.08,19.114,35.2,37.9,20.0,0.05,50k
student_KD_LoRA,/content/merged_f44ei2fz,dialogsum,False,1000,15.0,66.534,21.496,4.181,15.303,15.307,21.372,16.783,16.66,16.769,41.6,18.7,0.215,50k
student_SFT_LoRA,/content/merged_qslwm5l2,cnn_dailymail,True,1000,28.5,35.081,35.828,12.635,22.768,31.714,35.811,24.074,21.759,26.296,70.2,55.2,0.667,50k
student_SFT_LoRA,/content/merged_qslwm5l2,xsum,False,1000,19.5,51.21,20.017,2.859,13.148,16.542,20.12,9.501,-1.144,20.445,44.2,21.0,0.106,50k
student_SFT_LoRA,/content/merged_qslwm5l2,samsum,False,819,12.3,66.844,24.307,4.767,16.973,20.236,24.204,16.307,3.029,30.224,41.7,20.0,0.149,50k
student_SFT_LoRA,/content/merged_qslwm5l2,dialogsum,False,1000,15.4,65.033,19.758,3.818,14.505,16.78,19.696,6.911,2.164,11.605,42.5,18.7,0.09,50k
