metric,model_label,dataset,value_10k,value_50k,delta_50k_minus_10k
rouge1_clean,student_KD_LoRA,cnn_dailymail,31.147,31.359,0.212
rouge1_clean,student_KD_LoRA,xsum,21.474,21.461,-0.013
rouge1_clean,student_KD_LoRA,samsum,23.971,26.122,2.151
rouge1_clean,student_KD_LoRA,dialogsum,20.925,21.496,0.571
bertscore_f1,student_KD_LoRA,cnn_dailymail,18.871,19.824,0.953
bertscore_f1,student_KD_LoRA,xsum,21.337,21.368,0.031
bertscore_f1,student_KD_LoRA,samsum,23.961,27.08,3.119
bertscore_f1,student_KD_LoRA,dialogsum,15.529,16.783,1.254
rouge1_clean,student_SFT_LoRA,cnn_dailymail,34.403,35.828,1.425
rouge1_clean,student_SFT_LoRA,xsum,19.663,20.017,0.354
rouge1_clean,student_SFT_LoRA,samsum,23.486,24.307,0.821
rouge1_clean,student_SFT_LoRA,dialogsum,18.702,19.758,1.056
bertscore_f1,student_SFT_LoRA,cnn_dailymail,21.323,24.074,2.751
bertscore_f1,student_SFT_LoRA,xsum,9.778,9.501,-0.277
bertscore_f1,student_SFT_LoRA,samsum,13.733,16.307,2.574
bertscore_f1,student_SFT_LoRA,dialogsum,2.936,6.911,3.975
rouge1_clean,student_baseline_0.5B,cnn_dailymail,8.641,8.62,-0.021
rouge1_clean,student_baseline_0.5B,xsum,11.423,11.433,0.01
rouge1_clean,student_baseline_0.5B,samsum,11.662,11.664,0.002
rouge1_clean,student_baseline_0.5B,dialogsum,14.993,15.0,0.007
bertscore_f1,student_baseline_0.5B,cnn_dailymail,-16.921,-16.921,0.0
bertscore_f1,student_baseline_0.5B,xsum,-1.826,-1.826,0.0
bertscore_f1,student_baseline_0.5B,samsum,2.593,2.593,0.0
bertscore_f1,student_baseline_0.5B,dialogsum,4.974,4.974,0.0
